C6	AElig
107	cacute
2229	cap
2A44	capand
2A49	capbrcup
2A4B	capcap
2A47	capcup
2A40	capdot
2041	caret
2A4D	ccaps
10D	ccaron
E7	ccedil
109	ccirc
2A4C	ccups
2A50	ccupssm
10B	cdot
29B2	cemptyv
A2	cent
1D520	cfr
447	chcy
2713	check
3C7	chi
25CB	cir
29C3	cirE
2C6	circ
2257	cire
21BA	olarr
21BB	orarr
24C8	oS
229B	oast
229A	ocir
229D	odash
2A10	cirfnint
2AEF	cirmid
29C2	cirscir
2663	clubs
3A	colon
2C	comma
40	commat
2201	comp
2A6D	congdot
1D554	copf
2117	copysr
21B5	crarr
2717	cross
1D4B8	cscr
2ACF	csub
2AD1	csube
2AD0	csup
2AD2	csupe
22EF	ctdot
2938	cudarrl
2935	cudarrr
22DE	cuepr
22DF	cuesc
21B6	cularr
293D	cularrp
222A	cup
2A48	cupbrcap
2A46	cupcap
2A4A	cupcup
228D	cupdot
2A45	cupor
21B7	curarr
293C	curarrm
22CE	cuvee
22CF	cuwed
A4	curren
2231	cwint
232D	cylcty
2965	dHar
2020	dagger
2138	daleth
2010	dash
290F	rBarr
10F	dcaron
434	dcy
21CA	ddarr
2A77	eDDot
B0	deg
3B4	delta
29B1	demptyv
297F	dfisht
1D521	dfr
2666	diams
3DD	gammad
22F2	disin
F7	div
22C7	divonx
452	djcy
231E	dlcorn
230D	dlcrop
24	dollar
1D555	dopf
2251	eDot
2238	minusd
2214	plusdo
22A1	sdotb
231F	drcorn
230C	drcrop
1D4B9	dscr
455	dscy
29F6	dsol
111	dstrok
22F1	dtdot
25BF	dtri
29A6	dwangle
45F	dzcy
27FF	dzigrarr
E9	eacute
2A6E	easter
11B	ecaron
2256	ecir
EA	ecirc
2255	ecolon
44D	ecy
117	edot
2252	efDot
1D522	efr
2A9A	eg
E8	egrave
2A96	egs
2A98	egsdot
2A99	el
23E7	elinters
2113	ell
2A95	els
2A97	elsdot
113	emacr
2205	empty
2004	emsp13
2005	emsp14
2003	emsp
14B	eng
2002	ensp
119	eogon
1D556	eopf
22D5	epar
29E3	eparsl
2A71	eplus
3B5	epsi
3F5	epsiv
225F	equest
2A78	equivDD
29E5	eqvparsl
2253	erDot
2971	erarr
212F	escr
3B7	eta
F0	eth
EB	euml
20AC	euro
21	excl
444	fcy
2640	female
FB03	ffilig
FB00	fflig
FB04	ffllig
1D523	ffr
FB01	filig
66	fjlig
266D	flat
FB02	fllig
25B1	fltns
192	fnof
1D557	fopf
22D4	fork
2AD9	forkv
2A0D	fpartint
BD	half
2153	frac13
BC	frac14
2155	frac15
2159	frac16
215B	frac18
2154	frac23
2156	frac25
BE	frac34
2157	frac35
215C	frac38
2158	frac45
215A	frac56
215D	frac58
215E	frac78
2044	frasl
2322	frown
1D4BB	fscr
2A8C	gEl
1F5	gacute
3B3	gamma
2A86	gap
11F	gbreve
11D	gcirc
433	gcy
121	gdot
2AA9	gescc
2A80	gesdot
2A82	gesdoto
2A84	gesdotol
2A94	gesles
1D524	gfr
2137	gimel
453	gjcy
2A92	glE
2AA5	gla
2AA4	glj
2269	gnE
2A8A	gnap
2A88	gne
22E7	gnsim
1D558	gopf
210A	gscr
2A8E	gsime
2A90	gsiml
2AA7	gtcc
2A7A	gtcir
22D7	gtdot
2995	gtlPar
2A7C	gtquest
2978	gtrarr
44A	hardcy
2948	harrcir
21AD	harrw
210F	hbar
125	hcirc
2665	hearts
2026	mldr
22B9	hercon
1D525	hfr
2925	searhk
2926	swarhk
21FF	hoarr
223B	homtht
21A9	larrhk
21AA	rarrhk
1D559	hopf
2015	horbar
1D4BD	hscr
127	hstrok
2043	hybull
ED	iacute
EE	icirc
438	icy
435	iecy
A1	iexcl
1D526	ifr
EC	igrave
2A0C	qint
222D	tint
29DC	iinfin
2129	iiota
133	ijlig
12B	imacr
131	imath
22B7	imof
1B5	imped
2105	incare
221E	infin
29DD	infintie
22BA	intcal
2A17	intlarhk
2A3C	iprod
451	iocy
12F	iogon
1D55A	iopf
3B9	iota
BF	iquest
1D4BE	iscr
22F9	isinE
22F5	isindot
22F4	isins
22F3	isinsv
129	itilde
456	iukcy
EF	iuml
135	jcirc
439	jcy
1D527	jfr
237	jmath
1D55B	jopf
1D4BF	jscr
458	jsercy
454	jukcy
3BA	kappa
3F0	kappav
137	kcedil
43A	kcy
1D528	kfr
138	kgreen
445	khcy
45C	kjcy
1D55C	kopf
1D4C0	kscr
291B	lAtail
290E	lBarr
2A8B	lEg
2962	lHar
13A	lacute
29B4	laemptyv
3BB	lambda
2991	langd
2A85	lap
AB	laquo
291F	larrbfs
291D	larrfs
21AB	larrlp
2939	larrpl
2973	larrsim
